video_id,annotator_id,start_time_sec,end_time_sec,action,action_subtype,intent,emotion,diarization,cultural_context,confidence,ambiguity_flag,notes
v_WalkingWithDog_g01_c01,annotator_A,0,4,walk,casual,navigate,calm,person_and_animal,western,3,FALSE,Person walking dog on leash at steady pace on footpath
v_WalkingWithDog_g01_c02,annotator_A,0,5,walk,playful,bond,happy,person_and_animal,western,2,TRUE,Person jogging with dog — ambiguous between navigate and bond
v_WalkingWithDog_g01_c03,annotator_A,1,4.5,walk,slow_controlled,exercise,neutral,person_and_animal,western,3,FALSE,"Elderly person walking small dog, deliberate slow pace"
v_WalkingWithDog_g01_c04,annotator_A,0,3,pull,fast,navigate,uncertain,person_and_animal,western,2,TRUE,"Dog pulling on leash, person being dragged — unclear who is leading"
v_WalkingWithDog_g01_c05,annotator_A,0.5,4,walk,casual,bond,happy,person_and_animal,western,3,FALSE,"Person smiling, dog tail wagging, clear bonding interaction"
v_TaiChi_g01_c01,annotator_A,0,5,movement_sequence,slow_controlled,exercise,calm,person_A,east_asian,3,FALSE,"Traditional Tai Chi form, solo practitioner, fluid movements"
v_TaiChi_g01_c02,annotator_A,0,6,movement_sequence,ceremonial,perform,neutral,both,east_asian,2,TRUE,Two people performing in sync — could be group exercise or demonstration
v_TaiChi_g01_c03,annotator_A,0,7,movement_sequence,slow_controlled,exercise,calm,person_A,SEA,2,TRUE,"Solo form outdoors — cultural context uncertain, could be SEA or east_asian"
v_TaiChi_g01_c04,annotator_A,2,8,movement_sequence,ceremonial,perform,neutral,person_A,east_asian,3,FALSE,"Formal demonstration setting, audience visible in background"
v_TaiChi_g01_c05,annotator_A,0,5.5,movement_sequence,slow_controlled,exercise,calm,both,east_asian,3,FALSE,"Instructor and student side by side, mirroring movements"
v_Fencing_g01_c01,annotator_A,0,2,lunge,offensive,attack,tense,person_A,western,3,FALSE,"Clean forward lunge, full arm extension, clear attack"
v_Fencing_g01_c02,annotator_A,0.5,2.5,parry,defensive,defend,tense,person_B,western,2,TRUE,Parry motion visible but could be transitioning to counter-attack
v_Fencing_g01_c03,annotator_A,1,3,retreat,defensive,defend,fearful,person_B,western,3,FALSE,"Person stepping backward repeatedly, clearly on defensive"
v_Fencing_g01_c04,annotator_A,0,1.5,lunge,feint,attack,tense,person_A,western,1,TRUE,"Movement looks like feint — arm pulled back before full extension, low confidence"
v_Fencing_g01_c05,annotator_A,0,4,movement_sequence,fast,compete,excited,both,western,3,FALSE,Rapid exchange of attacks and parries between both fencers
